variable,table,description,type,allowed_values,unit,source,reliability_decision
call_id,calls,Anonymous call ID (C001…C100),str,,,D,keep
group,calls,"Agent type, from subfolder; joined in E11",enum,human;ai,,D,keep
duration_file_s,calls,File length,float,,s,D,keep
snr_db,calls,"10·log10(mean speech-frame power / mean non-speech-frame power), censor and exact zeros excluded",float,,dB,A,keep
clipping_pct,calls,% samples at >= 0.999 full scale,float,,%,A,keep
level_dbfs,calls,RMS level of speech frames,float,,dBFS,A,keep
speech_ratio,calls,Speech seconds / (duration − censored_s),float,,fraction,A,keep
censored_s,calls,Seconds detected as censored (E0),float,,s,A,keep
n_censor_segments,calls,Number of censor spans (E0),int,,,A,keep
asr_confidence,calls,Duration-weighted mean word probability,float,,probability,D,keep
asr_low_conf_pct,calls,% words with probability < 0.5,float,,%,D,keep
n_speakers_detected,calls,Distinct diarization speakers,int,,,D,keep
flags,calls,Quality warnings,list,low_snr;high_clipping;low_asr_conf;no_speech;censor_heavy;one_speaker;three_speakers;hallucination_removed;roles_manual_fix;diar_corrected;quote_verification_failed;agent_spoke_first;annotation_missing;stereo_downmixed,,D,keep
contact_type,calls,Who/what was reached,enum,no_answer;voicemail;ivr;wrong_number;hangup_before_identification;third_party;account_holder;unclear,,L,flag
identity_validated,calls,Agent explicitly confirms the account holder (name or ID) at any point,tri,true;false;na,,L,flag
product,calls,Type of debt,enum,credit_card;personal_loan;vehicle_loan;mortgage;payroll_loan;microcredit;telecom_services;other;unknown,,L,flag
debt_amount,calls,Total debt amount stated (null if not stated or censored),float,,COP,L,flag
overdue_amount,calls,Overdue amount stated (null if not stated or censored),float,,COP,L,flag
non_payment_reasons,calls,"All reasons for non-payment stated, primary (the one the client stresses most) first; not_stated if none; empty only if annotation missing",list,unemployment_income_loss;forgot;illness_calamity;over_indebtedness;disputes_charge;doesnt_recognize_debt_fraud;already_paid;payment_channel_problem;other;not_stated,,L,flag
final_outcome,calls,Ordinal outcome 0 no_contact … 7 firm_promise,enum,no_contact;third_party;holder_refuses;no_agreement;callback_scheduled;claims_already_paid;vague_promise;firm_promise,,L,flag
final_outcome_rank,calls,Ordinal rank of final_outcome (0–7),int,,,D over L,flag
ptp,calls,Account holder commits to pay (firm or vague),bool,,,L,flag
ptp_type_commitment,calls,firm = explicit unconditional; vague = conditional/uncertain,enum,firm;vague;na,,L,flag
ptp_amount,calls,Amount promised (null if not stated or censored),float,,COP,L,flag
ptp_date,calls,"Promise date as stated (""censored"" if censored)",str,,,L,flag
ptp_type,calls,Promise relative to overdue amount,enum,full;partial,,L,flag
