call_id,objection_idx,texto_objecion,texto_respuesta,sentimiento_antes,sentimiento_despues,latencia_respuesta_s
C002,1,"Ah, pues ahora que dijeron que 400 no hay qué, ahora ya que después que 500 no hay qué, ahora que, déjenme una propuesta de esas que habían dicho antes y ya.",¿No entiendo su propuesta?,-0.4919,0.0117,3.677
C002,2,"¿Sabe qué? En el momento tengo 300 mil pesos, usted verá si los cogen o qué. lo",entiendo perfectamente sin embargo el mínimo que podemos aceptar para este acuerdo es de 630 mil pesos en total 300 mil pesos pero,0.0117,-0.0111,3.908
C003,1,"no, es que no no alcance a reunir todo el dinero",y para cuándo podría revisar el pago para dar cumplimiento al acuerdo,-0.5513,0.0066,0.649
C003,2,ahorita no tengo no tengo nada la verdad no tengo nada entonces estoy esperando a fin de mes porque tengo un problema también y entonces,"entendemos la situación señor pero seguro se cancela para el día 30 de agosto para correr la fecha para el día 30 de agosto si,",-0.7483,0.302,0.608
C004,1,"no, porque ahorita no tengo, tengo que esperar después de fin de mes si me cae plata para ir sin mirar es decir ok","¿Tú vas a empezar plan de abonos por un no con un valor en específico? Sí, es para validar en el sistema porque acá en el sistema te aparecen dos pagos cada uno de 400 mil pesos. Entonces, pues, si de pronto no cuentas con el dinero, vas a empezar a incumplir la fecha de pago. Entonces, no sé si de pronto te puedo ofertar un plan de pagos donde la cuota quede como un poquito más baja para que lo puedas cancelar.",-0.1415,0.0028,0.0
C004,2,"Ah, bueno, es seguro. ¿Señora? ¿Es seguro?","Sí, sí, señora. Ahí con el número de convenio te dicen Luxury, que es la compañía nueva dueña de la cartera. Entonces ahí te va a aparecer un convenio llamado Luxury y ahí te dicen que es... Y ahí ya con tu número de cédula aparece.",0.0668,-0.0511,0.455
C004,3,"Ah, bueno. ¿Y eso dónde queda? ¿La compañía o la cartera de...?",En este momento queda en la ciudad donde nosotros estamos operando vía llamada. Ya si tú quieres investigar todo el tema de la compañía y demás te puedo enviar el soporte lo puedes verificar que es el registro empresarial único ahí puedes validar la matrícula que esté activa y pues toda nuestra razón social también nuestros números de contacto,-0.2057,0.1847,2.346
C007,1,Que no tenga el dinero No,le entiendo bien. ¿Me puede explicar un poco más?,-0.3697,-0.6284,2.531
C007,2,"No, no, porque no me alcanza.",La propuesta en cuotas está diseñada precisamente para que sea más cómodo. ¿Me da un momento para contarle cómo quedaría cada cuota?,-0.748,,4.472
C008,1,ya estoy aquí en el cuarto frío entonces no no lo escucho muy bien ya cuando salga ya,entiendo que se encuentre en el cuarto frío pero estamos validando si usted realizó el pago según compromiso de pago para el día 25 de julio,0.0067,-0.0197,1.857
C008,2,"No, es que, o sea, ustedes me dijeron que me iban a enviar, porque pues, la verdad, me colgaron, no me colgaron, sino digamos que me iban a escribir por, ¿por qué? A ver, ¿dónde estoy? No sé a dónde estoy.","A su correo electrónico fue enviado el acuerdo de pago, no sé si usted lo recibió vía correo electrónico.",-0.7515,-0.1198,1.805
C009,1,"venga, le digo hermanito Yo no voy a pagar esa deuda, hermano Porque a mí no me han dado ningún celular, ni nada Lo único que fue que firmé, eso fue lo único Eso ya, eso lo tiene un abogado No sé qué va a hacer con eso Pero hermano, yo cómo voy a pagar algo Si no me han dado plata, no me han dado nada, hermano O sea, yo no sé A dónde me están cobrando, hermano Porque firmé, eso fue lo único malo que firme la entrega fue para el 23 de abril de la",,-0.8683,,
C010,1,"No, mi reina, pues la verdad es que en estos momentos estoy pasando por una situación Pues delicada de salud con mi mamá Ah, pues yo te había dicho el otro día En estos momentos estoy en... Entonces, pues nos tocó viajar Entonces, pues por tal motivo, pues No tengo cómo solucionar en estos momentos ese... este ese pago porque la verdad pues no no me da",no no podría realizar el pago en ninguna circunstancia pues entre hoy y el lunes,-0.8955,-0.6434,1.502
C013,1,"es que ahorita estoy más apretado y con este cuento, este terremoto y la verdad, yo quisiera pagarles a ustedes, pero ay, Dios mío, todo se me dificulta. Imagínense que la semana pasada me llamaron de lo mismo. Es que eso es lo que yo me da hasta rabia. Me llamaron de lo mismo. Entonces yo dije, bueno, yo me voy a acercar para ver qué puedo hacer. Usted llega y me dice, no, es que ya usted le deja una entidad y es que no me acuerdo qué entidad. entonces uno queda como loco, eso no entiendo eso es como que mejor yo me me presento y mirar qué es, qué es lo que es, porque uno esta llamadita no me cuadra, la verdad Listo, entonces en","el área del asesor el asesor comercial le va a indicar o el asesor de cuenta, posiblemente le va a indicar que su cuenta fue vendida actualmente es el nuevo creador de la cuenta y ya va a dirigir nuevamente para que haga la negociación de la obligación ¿Listo? Sí,",-0.9319,-0.8054,0.181
C013,2,"No, pero mira lo que me dijo otro señor. Ya tú no tienes nada que ver con...","No, actualmente ya no. Actualmente, o sea, el acreedor original, si usted gusta, se puede acercar a reiterar y verificar la información que se le ha venido otorgando. en las últimas gestiones y pues ellos ya igualmente ya usted negociar no lo van a aceptar la negociación, ya directamente lo van a remitir al nuevo acreedor las carteras actuales",-0.1277,-0.2497,0.27
C014,1,"Por eso, ¿pero de qué me van a pedir la información o qué?","No, no, no, yo no le voy a pedir información, le voy a dar una información.",-0.4994,0.2052,0.389
C016,1,"No, no sé por qué me están llamando eso si la vez pasada me llamaron hace como un mes, yo ya hice la cancelación en totalidad del acuerdo de pago es un acuerdo de pago por dos cuotas yo ya cancelé las dos cuotas el mismo día y la misma fecha Entiendo señor",Mauricio ¿Usted algún whatsapp reportó el pago?,-0.3648,-0.1211,0.0
